crop,block,location,term,estimate,std.error,statistic,p.value
AR,1,ISU,k,0.026308370976683437,0.002206505866023578,11.923091337207582,2.2514960093946256e-6
AR,1,WIU,k,0.02856797007165022,0.0038475327287014727,7.425010282184603,7.439596800303452e-5
AR,2,ISU,k,0.03531569281422931,0.007941605824314987,4.446920886718211,0.002982694217754998
AR,2,WIU,k,0.026885603583256368,0.0020101657887053237,13.374818999666903,3.041158869536626e-7
AR,3,ISU,k,0.02543214063259038,0.0026878279860865625,9.461967344725506,5.658989894678339e-6
AR,3,WIU,k,0.030780504971718702,0.003183980276804505,9.66730390761419,1.0921275901137488e-5
AR,4,ISU,k,0.03147346496054998,0.00581355264685184,5.413809226892186,4.2526170105086164e-4
AR,4,WIU,k,0.02829449299009425,0.006593266768722113,4.291422443927322,0.0020158592426008435
CR,1,ISU,k,0.024232293155735208,0.002426831558920968,9.985156599211818,3.622749309575889e-6
CR,1,WIU,k,0.024780682708318742,0.0031700308519150267,7.817173985341072,2.6612304185502377e-5
CR,2,ISU,k,0.02525692805347073,0.003738434481764674,6.75601730528351,8.308078209104272e-5
CR,2,WIU,k,0.030086040459269443,0.004619219354241608,6.513230516243588,1.8550126385173083e-4
CR,4,ISU,k,0.025477035390005533,0.002249009603415977,11.328113206501634,1.2559331491818148e-6
CR,4,WIU,k,0.025694186958354508,0.0032347568097871606,7.9431587810909114,2.3431350129353817e-5
GPC,1,ISU,k,0.024767394201258237,0.0022051117224589486,11.231809231706317,1.3499919769796954e-6
GPC,1,WIU,k,0.023059928465086522,0.0029292577224421554,7.872277092048152,2.5166216724979176e-5
GPC,2,ISU,k,0.021330841127126014,0.0019321927793532064,11.039706469799782,1.5617387976312928e-6
GPC,2,WIU,k,0.028482320025489068,0.0027208060744963033,10.468338884005886,6.025162987160341e-6
GPC,3,ISU,k,0.02382755372675689,0.0030849685601645293,7.723759014738906,2.9276514965803038e-5
GPC,3,WIU,k,0.0240644979023402,0.002497810218009773,9.634237913204839,4.875111064693653e-6
GPC,4,ISU,k,0.020010018270070935,0.0017090272785960008,11.70842532514142,9.492099519659364e-7
GPC,4,WIU,k,0.027765753830818658,0.004399236876932734,6.311493244750595,2.2992378302155587e-4
PCRO,1,ISU,k,0.032296382048415166,0.004370302820042436,7.38996435219598,4.1473090364970736e-5
PCRO,1,WIU,k,0.017060812889426628,0.001985269243581945,8.593702312460378,1.2438776415133683e-5
PCRO,2,ISU,k,0.025665917019790603,0.0039016978759096373,6.5781405521581755,3.105621100172348e-4
PCRO,2,WIU,k,0.019659073145754755,0.002304089729565159,8.532251541030446,1.3183634673712447e-5
PCRO,3,ISU,k,0.022196352765817228,0.001965306264481385,11.294093529831857,1.2883067287378801e-6
PCRO,3,WIU,k,0.030467021444588606,0.006381525656339142,4.7742535383092815,0.0014009502081937083
PCRO,4,ISU,k,0.02156858597223685,0.0044118842829458035,4.888746981785198,8.609147840040862e-4
PCRO,4,WIU,k,0.021364137130562334,0.003273677987498882,6.526035001654123,1.0813140498953674e-4
WPC,1,ISU,k,0.029557301583974106,0.004710259900220417,6.275089317808338,1.4522362895937193e-4
WPC,1,WIU,k,0.027384907132448504,0.007225220646144472,3.790182815671056,0.00531044370924552
WPC,2,ISU,k,0.025766647857226935,0.0037123040525594143,6.940877550011658,6.752639746311692e-5
WPC,2,WIU,k,0.02170643215045393,0.003731217531023133,5.81751987654867,3.971594803404908e-4
WPC,3,ISU,k,0.026300970422667814,0.0018389406454145567,14.302239981616548,1.7049523123288912e-7
WPC,3,WIU,k,0.020455500996445126,0.002199706263027227,9.299196597410397,6.528800030221082e-6
WPC,4,ISU,k,0.024254598560054647,0.0019774936361014084,12.26532319359173,6.389789300277779e-7
WPC,4,WIU,k,0.020074440252672195,0.0021754494995766256,9.227720641908247,6.956422559405616e-6
